LocalStack supervisor: starting
LocalStack supervisor: localstack process (PID 16) starting
2024-11-18T17:54:58.506 DEBUG --- [  MainThread] l.utils.docker_utils       : Using SdkDockerClient. LEGACY_DOCKER_CLIENT: False, SDK installed: True
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_public_cloudpods_endpoints = <function register_public_cloudpods_endpoints at 0xffffa1640fe0>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_public_cloudpods_endpoints
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_remotes_pods_api = <function register_remotes_pods_api at 0xffffa16400e0>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_remotes_pods_api
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_replicator_api = <function register_replicator_api at 0xffffa16413a0>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_replicator_api
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_reset_state_resource = <function register_reset_state_resource at 0xffffa16416c0>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_reset_state_resource
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_restricted_pods_api = <function register_restricted_pods_api at 0xffffa1637f60>)
2024-11-18T17:54:58.638 DEBUG --- [  MainThread] plux.runtime.manager       : loading plugin localstack.hooks.on_infra_start:register_restricted_pods_api
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : instantiating plugin PluginSpec(localstack.hooks.on_infra_start.register_state_load_strategy = <function register_state_load_strategy at 0xffffa16422a0>)
2024-11-18T17:54:58.639 DEBUG --- [  MainThread] plux.runtime.manager       : plugin localstack.hooks.on_infra_start:register_state_load_strategy is disabled, reason: Load condition for plugin was false
